Tischer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN DNR Hydstra #,H02039008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPCA Station ID,S004-364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Lab,,,Lab,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Flow,Temp,DO,DO,EC25,TDS,chloride,Turbidity,Transparency,TSS,TVS,T-Solids-calc,pH,ANC,ortho-P,TP,TN,NO3/NO2-N,NH4-N,DIN,fecal coliform,BOD,NOTES,,,,,,,,,,
Stream,Date,Time,condition,Qualitative Flow ,(cfs),(oC),(mg/L),% sat,uS/cm ,(mg/L),(mg/L), NTU,tube (cm),(mg/L),(mg/L),(mg/L),lab,mg CaCO3/L,(ug/L),(ug/L),(ug/L),(ug/L),(ug/L),(ug/L),(cfu/100ml),(mg/L),,METADATA NOTES:,,,,,,,,,
Tischer Creek,9/12/03,8:50,"9/11-12 1.26"" rain",R,7,16.7,8.10,86.62,160,125,18,92.7,11,44,64,169,7.65,76,40,150,599,230,61,291,4920,3(LOD),LOD=Limit Of Detection,,,,,,,,,,
Tischer Creek,9/18/03,18:45,"9/18-19 1.90"" rain",R,14,15.7,8.16,85.40,175,239,23,622.0,5,422,98,661,7.83,50,90,520,1173,351,64,415,71000,5,,,,,,,,,,,
Tischer Creek,10/11/03,17:30,"0.58"" rain",R,17,N/A,N/A,N/A,276,220,36,275.0,10,129,120,349,7.99,94,19,560,415,12,31,43,N/A,5,,,,,,,,,,,
Tischer Creek,10/14/03,8:45,Low flow sample,B,4,N/A,N/A,N/A,418,256,58,3.3,>124,1(LOD),96,257,8.00,117,30,580,380,0,15,15,850,N/A,T-Solids calc uses 1/2 of TSS LOD,,,,,,,,,,
Tischer Creek,11/12/03,12:00,"1.5"" snow (0.3"" rain)",R,7,1.7,12.96,96.50,1474,810,405,34.3,15,29,114,839,N/A,N/A,50,110,757,316,137,453,3000,5,,,,,,,,,,,
Tischer Creek,3/22/04,09:05,Low flow sample,S,92,0.1,N/A,N/A,1040,632,260,7.1,>124,3,N/A,635,N/A,N/A,20,20,755,517,51,568,96,N/A,,,,,,,,,,,
Tischer Creek,3/24/04,17:00,"snow melt,most ice is off",S,42,0.4,N/A,N/A,1015,609,260,483.0,3,496,N/A,1105,N/A,N/A,60,710,1848,937,306,1243,5300,N/A,fecal holding time exceeded,,,,,,,,,,
Tischer Creek,3/28/04,08:45,"0.5"" rain, snow melt",S,170,0.5,N/A,N/A,561,349,125,98.3,10,240,N/A,589,N/A,N/A,20,400,1751,871,407,1278,360,N/A,fecal holding time exceeded,,,,,,,,,,
Tischer Creek,3/31/04,15:50,snow melt,S,286,1.7,N/A,N/A,228,237,60,10.8,61,10,N/A,247,N/A,N/A,10,60,1448,751,103,854,50,N/A,op and fecal holding time exceeded,,,,,,,,,,
Tischer Creek,4/2/04,15:00,snow melt,S,240,2.3,N/A,N/A,323,211,63,11.7,74,11,N/A,222,N/A,N/A,20,60,1213,582,83,665,,N/A,op holding time exceeded,,,,,,,,,,
